SECURITY_TYPE;TYPE;SECID;SHORTNAME;NAME;REGNUMBER;PRIMARY_BOARDID;FACEVALUE;FACEUNIT;ISIN
Биржевая облигация;exchange_bond;RU000A1024T0;СберИОС330;СберИОС 001Р-330R 5Г ВП;TQCB;1000;RUB;RU000A1024T0
Биржевая облигация;exchange_bond;RU000A1025R1;СберИОС345;СберИОС 001Р-345R 5Y ТЕХ;TQCB;1000;RUB;RU000A1025R1
Биржевая облигация;exchange_bond;RU000A1025S9;СберИОС346;СберИОС 001Р-346R 5Y ТЕХ;TQCB;1000;RUB;RU000A1025S9
Биржевая облигация;exchange_bond;RU000A1025L4;СберИОС336;СберИОС 001Р-336R 5Г РБЧ;TQCB;1000;RUB;RU000A1025L4
Биржевая облигация;exchange_bond;RU000A102614;СберИОС338;СберИОС 001Р-338R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A102614
Биржевая облигация;exchange_bond;RU000A102622;СберИОС340;СберИОС 001Р-340R 5Г ВСТГЭ ИНД;TQCB;1000;RUB;RU000A102622
Биржевая облигация;exchange_bond;RU000A1025J8;СберИОС331;СберИОС 001Р-331R 5Г СРВП;TQCB;1000;RUB;RU000A1025J8
Биржевая облигация;exchange_bond;RU000A1026E7;СберИОС332;СберИОС 001Р-332R 5Г СРВП;TQCB;1000;RUB;RU000A1026E7
Биржевая облигация;exchange_bond;RU000A1026M0;СберИОС341;СберИОС 001Р-341R 5Г РБЧ;TQCB;1000;RUB;RU000A1026M0
Биржевая облигация;exchange_bond;RU000A1026N8;СберИОС342;СберИОС 001Р-342R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A1026N8
Биржевая облигация;exchange_bond;RU000A1026P3;СберИОС343;СберИОС 001Р-343R 5Г ВСТГЭ ИНД;TQCB;1000;RUB;RU000A1026P3
Биржевая облигация;exchange_bond;RU000A1027A3;СберИОС348;СберИОС 001Р-348R IPO_КНД 5Г;TQCB;1000;RUB;RU000A1027A3
Биржевая облигация;exchange_bond;RU000A1028J2;СберИОС354;СберИОС 001Р-354R 5Г SBERLV85;TQCB;1000;RUB;RU000A1028J2
Биржевая облигация;exchange_bond;RU000A1028K0;СберИОС355;СберИОС 001Р-355R 5Y ТЕХ;TQCB;1000;RUB;RU000A1028K0
Биржевая облигация;exchange_bond;RU000A1029C5;СберИОС333;СберИОС 001Р-333R 5Г ВП;TQCB;1000;RUB;RU000A1029C5
Биржевая облигация;exchange_bond;RU000A1029E1;СберИОС351;СберИОС 001Р-351R 5Г ВП;TQCB;1000;RUB;RU000A1029E1
Биржевая облигация;exchange_bond;RU000A1029Q5;СберИОС359;СберИОС 001Р-359R 5Г ВСТГЭ ИНД;TQCB;1000;RUB;RU000A1029Q5
Биржевая облигация;exchange_bond;RU000A1029R3;СберИОС357;СберИОС 001Р-357R 5Г РБЧ;TQCB;1000;RUB;RU000A1029R3
Биржевая облигация;exchange_bond;RU000A1029S1;СберИОС360;СберИОС 001Р-360R 5Г БТЕХ ИНД;TQCB;1000;RUB;RU000A1029S1
Биржевая облигация;exchange_bond;RU000A102A56;СберИОС353;СберИОС 001Р-353R 5Г СРВП;TQCB;1000;RUB;RU000A102A56
Биржевая облигация;exchange_bond;RU000A102A64;СберИОС352;СберИОС 001Р-352R 5Г СРВП;TQCB;1000;RUB;RU000A102A64
Биржевая облигация;exchange_bond;RU000A102A72;СберИОС366;СберИОС 001Р-366R 5Y СМШ;TQCB;1000;RUB;RU000A102A72
Биржевая облигация;exchange_bond;RU000A102A80;СберИОС367;СберИОС 001Р-367R 5Y СМШ;TQCB;1000;RUB;RU000A102A80
Биржевая облигация;exchange_bond;RU000A102BE0;СберИОС356;СберИОС 001Р-356R 5Г СРВП;TQCB;1000;RUB;RU000A102BE0
Биржевая облигация;exchange_bond;RU000A102BR2;СберИОС375;СберИОС 001Р-375R 5Y СМШ;TQCB;1000;RUB;RU000A102BR2
Биржевая облигация;exchange_bond;RU000A102BS0;СберИОС376;СберИОС 001Р-376R 5Y СМШ;TQCB;1000;RUB;RU000A102BS0
Биржевая облигация;exchange_bond;RU000A102BZ5;СберИОС373;СберИОС 001Р-373R 5Г ВП;TQCB;1000;RUB;RU000A102BZ5
Биржевая облигация;exchange_bond;RU000A102C13;СберИОС374;СберИОС 001Р-374R 5Г ВП;TQCB;1000;RUB;RU000A102C13
