;;;;
Акция обыкновенная;common_share;SBER;Сбербанк;Сбербанк России ПАО ао;RUB;RU0009029540
Биржевая облигация;exchange_bond;RU000A103UP4;СберИОС476;СберИОС 001Р-476R 5Г ТЕХ;RUB;RU000A103UP4
Биржевая облигация;exchange_bond;RU000A103UQ2;СберИОС477;СберИОС 001Р-477R 5Г SPX;RUB;RU000A103UQ2
Биржевая облигация;exchange_bond;RU000A103UR0;СберИОС478;СберИОС 001Р-478R 5Г IMOEX;RUB;RU000A103UR0
Биржевая облигация;exchange_bond;RU000A103VP2;СберИОС479;СберИОС 001Р-479R 5Г РБЧ-М;RUB;RU000A103VP2
Биржевая облигация;exchange_bond;RU000A103VQ0;СберИОС480;СберИОС 001Р-480R 7Г СШАМ ИНД;RUB;RU000A103VQ0
Биржевая облигация;exchange_bond;RU000A103X90;СберИОС481;СберИОС 001Р-481R 5Г РБЧ-М;RUB;RU000A103X90
Биржевая облигация;exchange_bond;RU000A103Y16;СберИОС482;СберИОС 001Р-482R 5Г ТЕХ;RUB;RU000A103Y16
Биржевая облигация;exchange_bond;RU000A103Y40;СберИОС484;СберИОС 001Р-484R 5Г SPX;RUB;RU000A103Y40
Биржевая облигация;exchange_bond;RU000A103Y57;СберИОС485;СберИОС 001Р-485R 5Г IMOEX;RUB;RU000A103Y57
Биржевая облигация;exchange_bond;RU000A103ZJ6;СберИОС486;СберИОС 001Р-486R 7Г РБЧ-М;RUB;RU000A103ZJ6
Биржевая облигация;exchange_bond;RU000A102FQ5;Сбер Sb20R;Сбербанк ПАО 001Р-SBER20;RUB;RU000A102FQ5
Биржевая облигация;exchange_bond;RU000A1040J7;Сбер Sb38R;Сбербанк ПАО 001Р-SBER38;RUB;RU000A1040J7
Биржевая облигация;exchange_bond;RU000A1040T6;СберИОС488;СберИОС 001Р-488R 5Г ТЕХ;RUB;RU000A1040T6
Биржевая облигация;exchange_bond;RU000A1040U4;СберИОС489;СберИОС 001Р-489R 5Г ИФН;RUB;RU000A1040U4
Биржевая облигация;exchange_bond;RU000A1040Y6;Сбер Sb39R;Сбербанк ПАО 001Р-SBER39;RUB;RU000A1040Y6
Биржевая облигация;exchange_bond;RU000A1041M9;СберИОС490;СберИОС 001Р-490R 5Г SPX;RUB;RU000A1041M9
